freq,nrg_cons,nrg_prc,currency,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,KWH1000-2499,ALLOW_OTH,NAC,FI	: 	: 	: 	: 	: 	: 	0.0011 
A,KWH1000-2499,ALLOW_OTH,NAC,LI	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,MD	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,MT	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,RS	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,SI	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAT,AT	: 	: 	: 	: 	: 	-0.0203 e	: 
A,KWH1000-2499,ALLOW_OTH,NAT,BE	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,CY	: 	: 	: 	: 	: 	0.0282 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,CZ	: 	: 	: 	: 	: 	-1.3250 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,EE	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,EL	: 	: 	: 	: 	: 	0.1842 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,FI	: 	: 	: 	: 	: 	0.0013 e	: 
A,KWH1000-2499,ALLOW_OTH,NAT,IE	: 	: 	: 	: 	: 	0.1755 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,IS	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,LI	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,LU	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,MD	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,MT	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,NL	: 	: 	: 	: 	: 	0.0763 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,NO	: 	: 	: 	: 	: 	0.9140 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,PL	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,RS	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,SE	: 	: 	: 	: 	: 	0.6297 	: 
A,KWH1000-2499,ALLOW_OTH,NAT,SI	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,AT	: 	: 	: 	: 	: 	-0.0178 e	-0.0652 e
A,KWH1000-2499,ALLOW_OTH,PPS,BE	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,PPS,CY	: 	: 	: 	: 	: 	0.0311 	0.0000 
A,KWH1000-2499,ALLOW_OTH,PPS,CZ	: 	: 	: 	: 	: 	-0.0667 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,EE	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,PPS,EL	: 	: 	: 	: 	: 	0.2238 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,FI	: 	: 	: 	: 	: 	0.0010 e	0.0009 
A,KWH1000-2499,ALLOW_OTH,PPS,IE	: 	: 	: 	: 	: 	0.1464 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,IS	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,LU	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,MT	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,PPS,NL	: 	: 	: 	: 	: 	0.0657 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,NO	: 	: 	: 	: 	: 	0.0637 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,PL	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,RS	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,PPS,SE	: 	: 	: 	: 	: 	0.0479 	: 
A,KWH1000-2499,ALLOW_OTH,PPS,SI	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,NETC,EUR,AL	0.0000 	0.0000 	0.0000 	0.0447 e	0.0455 e	0.0623 	: 
A,KWH1000-2499,NETC,EUR,AT	0.0728 	0.0766 	0.0791 	0.0782 	0.0849 	0.0821 	0.0935 
A,KWH1000-2499,NETC,EUR,BA	0.0478 	0.0485 	0.0417 	0.0420 	0.0411 	0.0423 	0.0463 
A,KWH1000-2499,NETC,EUR,BE	0.1120 	0.1188 	0.1176 	0.1121 	0.1128 	0.0945 	0.1037 
A,KWH1000-2499,NETC,EUR,BG	0.0229 	0.0240 	0.0253 	0.0261 	0.0270 	0.0378 	0.0422 
A,KWH1000-2499,NETC,EUR,CY	0.0313 d	0.0319 	0.0337 	0.0325 	0.0307 	0.0298 	0.0361 
A,KWH1000-2499,NETC,EUR,CZ	0.0773 	0.0830 	0.0873 	0.0884 	0.0727 	0.0366 	0.0982 
A,KWH1000-2499,NETC,EUR,DE	0.0841 	0.0883 	0.0938 	0.0992 	0.0937 	0.0976 	0.1130 
A,KWH1000-2499,NETC,EUR,DK	0.0732 	0.0750 	0.0722 	0.0725 	0.0704 	0.0754 	0.0973 
A,KWH1000-2499,NETC,EUR,EA	0.0689 	0.0729 	0.0787 	0.0828 	0.0824 	0.0897 	: 
A,KWH1000-2499,NETC,EUR,EE	0.0502 	0.0525 	0.0497 	0.0505 	0.0506 	0.0564 	0.0703 
A,KWH1000-2499,NETC,EUR,EL	0.0350 	0.0292 	0.0291 	0.0284 	0.0290 	0.0293 	: 
A,KWH1000-2499,NETC,EUR,ES	0.0653 d	0.0626 d	0.0781 	0.0926 	0.0841 	0.0943 	: 
A,KWH1000-2499,NETC,EUR,EU27_2020	0.0689 	0.0717 	0.0765 	0.0787 	0.0788 	0.0860 	: 
A,KWH1000-2499,NETC,EUR,FI	0.0951 	0.1020 	0.1063 	0.1100 	0.1121 	0.1106 	0.1156 
A,KWH1000-2499,NETC,EUR,FR	0.0594 	0.0680 	0.0730 	0.0769 	0.0803 	0.0894 	0.0909 
A,KWH1000-2499,NETC,EUR,GE	: 	0.0294 	0.0104 e	0.0028 e	0.0071 e	0.0092 e	: 
A,KWH1000-2499,NETC,EUR,HR	0.0484 	0.0491 	0.0490 	0.0484 	0.0484 	0.0517 	: 
A,KWH1000-2499,NETC,EUR,HU	0.0463 	0.0458 	0.0456 	0.0449 	0.0461 	0.0506 	0.0606 
A,KWH1000-2499,NETC,EUR,IE	0.0945 	0.0992 	0.0987 	0.1289 	0.1322 	0.1401 	: 
A,KWH1000-2499,NETC,EUR,IS	0.0980 	0.0910 	0.0887 	0.0778 	0.0883 	0.0986 	: 
A,KWH1000-2499,NETC,EUR,IT	0.0566 d	0.0583 d	0.0666 	0.0627 	0.0666 	0.0784 	0.0617 
A,KWH1000-2499,NETC,EUR,LI	0.0726 	0.1128 	0.1175 	0.1188 	0.1200 	0.1313 	0.1342 
A,KWH1000-2499,NETC,EUR,LT	0.0411 	0.0435 	0.0483 	0.0564 	0.0580 	0.0576 	0.0678 
A,KWH1000-2499,NETC,EUR,LU	0.0851 	0.1005 	0.1024 	0.1106 	0.1069 	0.1072 	: 
A,KWH1000-2499,NETC,EUR,LV	0.0601 	0.0580 	0.0582 	0.0643 	0.0579 	0.0555 	: 
A,KWH1000-2499,NETC,EUR,MD	0.0327 	0.0369 	0.0353 	0.0334 	0.0275 	0.0332 	0.0437 
A,KWH1000-2499,NETC,EUR,ME	0.0486 	0.0487 	0.0489 	0.0467 	0.0467 	0.0460 	: 
A,KWH1000-2499,NETC,EUR,MK	0.0182 	0.0170 	0.0199 	0.0202 	0.0215 	0.0406 	0.0431 
A,KWH1000-2499,NETC,EUR,MT	0.0250 	0.0240 	0.0250 	0.0310 	0.0270 	0.0270 	0.0270 
A,KWH1000-2499,NETC,EUR,NL	0.0930 	0.0974 	0.0979 	0.1001 	0.1057 	0.1123 	: 
A,KWH1000-2499,NETC,EUR,NO	0.1259 	0.1348 	0.1368 	0.1274 	0.1396 	0.1487 	: 
A,KWH1000-2499,NETC,EUR,PL	0.0555 	0.0491 	0.0478 	0.0513 	0.0506 	0.0509 	: 
A,KWH1000-2499,NETC,EUR,PT	0.0572 	0.0550 	0.0536 	0.0489 	0.0470 	0.0629 	0.0567 
A,KWH1000-2499,NETC,EUR,RO	0.0419 	0.0410 	0.0420 	0.0428 	0.0424 	0.0462 	: 
A,KWH1000-2499,NETC,EUR,RS	0.0360 	0.0361 	0.0358 	0.0385 	0.0436 	0.0472 	0.0465 
A,KWH1000-2499,NETC,EUR,SE	0.1014 	0.0971 	0.1002 	0.0959 	0.0952 	0.0980 	0.0903 
A,KWH1000-2499,NETC,EUR,SI	0.0702 	0.0717 	0.0694 	0.0582 	0.0648 	0.0545 	0.0725 
A,KWH1000-2499,NETC,EUR,SK	0.0623 	0.0625 	0.0596 	0.0581 	0.0582 	0.0605 	0.0551 
A,KWH1000-2499,NETC,EUR,TR	0.0271 	0.0201 	0.0281 	0.0247 	0.0221 	0.0178 	0.0264 
A,KWH1000-2499,NETC,EUR,UA	: 	: 	: 	0.0000 	: 	: 	: 
A,KWH1000-2499,NETC,EUR,UK	0.0502 	0.0460 	0.0541 	: 	: 	: 	: 
A,KWH1000-2499,NETC,EUR,XK	0.0254 	0.0254 	0.0342 	0.0309 	0.0276 	0.0401 	0.0361 
A,KWH1000-2499,NETC,NAC,AT	: 	: 	: 	: 	: 	: 	0.0935 
A,KWH1000-2499,NETC,NAC,BA	: 	: 	: 	: 	: 	: 	0.0905 
A,KWH1000-2499,NETC,NAC,BE	: 	: 	: 	: 	: 	: 	0.1037 
A,KWH1000-2499,NETC,NAC,BG	: 	: 	: 	: 	: 	: 	0.0825 
A,KWH1000-2499,NETC,NAC,CY	: 	: 	: 	: 	: 	: 	0.0361 
A,KWH1000-2499,NETC,NAC,CZ	: 	: 	: 	: 	: 	: 	2.3893 
A,KWH1000-2499,NETC,NAC,DE	: 	: 	: 	: 	: 	: 	0.1130 
A,KWH1000-2499,NETC,NAC,DK	: 	: 	: 	: 	: 	: 	0.7251 
A,KWH1000-2499,NETC,NAC,EE	: 	: 	: 	: 	: 	: 	0.0703 
A,KWH1000-2499,NETC,NAC,FI	: 	: 	: 	: 	: 	: 	0.1156 
A,KWH1000-2499,NETC,NAC,FR	: 	: 	: 	: 	: 	: 	0.0909 
A,KWH1000-2499,NETC,NAC,HU	: 	: 	: 	: 	: 	20.6118 	23.1816 
A,KWH1000-2499,NETC,NAC,IT	: 	: 	: 	: 	: 	: 	0.0617 
A,KWH1000-2499,NETC,NAC,LI	: 	: 	: 	: 	: 	: 	0.1286 
A,KWH1000-2499,NETC,NAC,LT	: 	: 	: 	: 	: 	: 	0.0678 
A,KWH1000-2499,NETC,NAC,MD	: 	: 	: 	: 	: 	: 	0.8480 
A,KWH1000-2499,NETC,NAC,MK	: 	: 	: 	: 	: 	: 	2.6512 
A,KWH1000-2499,NETC,NAC,MT	: 	: 	: 	: 	: 	: 	0.0270 
A,KWH1000-2499,NETC,NAC,PT	: 	: 	: 	: 	: 	: 	0.0567 
A,KWH1000-2499,NETC,NAC,RS	: 	: 	: 	: 	: 	: 	5.4456 
A,KWH1000-2499,NETC,NAC,SE	: 	: 	: 	: 	: 	: 	1.0497 
A,KWH1000-2499,NETC,NAC,SI	: 	: 	: 	: 	: 	: 	0.0725 
A,KWH1000-2499,NETC,NAC,SK	: 	: 	: 	: 	: 	: 	0.0551 
A,KWH1000-2499,NETC,NAC,TR	: 	: 	: 	: 	: 	: 	0.7902 
A,KWH1000-2499,NETC,NAC,XK	: 	: 	: 	: 	: 	: 	0.0361 
A,KWH1000-2499,NETC,NAT,AL	0.0000 	0.0000 	0.0000 	5.5400 e	5.5400 e	7.2700 	: 
A,KWH1000-2499,NETC,NAT,AT	0.0728 	0.0766 	0.0791 	0.0782 	0.0849 	0.0821 	: 
A,KWH1000-2499,NETC,NAT,BA	0.0935 	0.0948 	0.0815 	0.0821 	0.0803 	0.0827 	: 
A,KWH1000-2499,NETC,NAT,BE	0.1120 	0.1188 	0.1176 	0.1121 	0.1128 	0.0945 	: 
A,KWH1000-2499,NETC,NAT,BG	0.0448 	0.0469 	0.0494 	0.0510 	0.0528 	0.0740 	: 
A,KWH1000-2499,NETC,NAT,CY	0.0313 d	0.0319 	0.0337 	0.0325 	0.0307 	0.0298 	: 
A,KWH1000-2499,NETC,NAT,CZ	2.0000 	2.1400 	2.2400 	2.3500 	1.8500 	0.8952 	: 
A,KWH1000-2499,NETC,NAT,DE	0.0841 	0.0883 	0.0938 	0.0992 	0.0937 	0.0976 	: 
A,KWH1000-2499,NETC,NAT,DK	0.5450 	0.5596 	0.5390 	0.5396 	0.5239 	0.5610 	: 
A,KWH1000-2499,NETC,NAT,EE	0.0502 	0.0525 	0.0497 	0.0505 	0.0506 	0.0564 	: 
A,KWH1000-2499,NETC,NAT,EL	0.0350 	0.0292 	0.0291 	0.0284 	0.0290 	0.0293 	: 
A,KWH1000-2499,NETC,NAT,ES	0.0653 d	0.0626 d	0.0781 	0.0926 	0.0841 	0.0943 	: 
A,KWH1000-2499,NETC,NAT,FI	0.0951 	0.1020 	0.1063 	0.1100 	0.1121 	0.1106 	: 
A,KWH1000-2499,NETC,NAT,FR	0.0594 	0.0680 	0.0730 	0.0769 	0.0803 	0.0894 	: 
A,KWH1000-2499,NETC,NAT,GE	: 	0.0882 	0.0339 e	0.0107 e	0.0258 e	0.0258 e	: 
A,KWH1000-2499,NETC,NAT,HR	0.3623 	0.3639 	0.3637 	0.3651 	0.3634 	0.3899 	: 
A,KWH1000-2499,NETC,NAT,HU	14.2922 	14.8272 	15.0338 	16.0449 	16.5735 	: 	: 
A,KWH1000-2499,NETC,NAT,IE	0.0945 	0.0992 	0.0987 	0.1289 	0.1322 	0.1401 	: 
A,KWH1000-2499,NETC,NAT,IS	12.1359 	11.9615 	12.1943 	12.4998 	13.1315 	14.1177 	: 
A,KWH1000-2499,NETC,NAT,IT	0.0566 d	0.0583 d	0.0666 	0.0627 	0.0666 	0.0784 	: 
A,KWH1000-2499,NETC,NAT,LI	0.0833 	0.1287 	0.1288 	0.1289 	0.1282 	0.1284 	: 
A,KWH1000-2499,NETC,NAT,LT	0.0411 	0.0435 	0.0483 	0.0564 	0.0580 	0.0576 	: 
A,KWH1000-2499,NETC,NAT,LU	0.0851 	0.1005 	0.1024 	0.1106 	0.1069 	0.1072 	: 
A,KWH1000-2499,NETC,NAT,LV	0.0601 	0.0580 	0.0582 	0.0643 	0.0579 	0.0555 	: 
A,KWH1000-2499,NETC,NAT,MD	0.6776 	0.7180 	0.6900 	0.6688 	0.5650 	0.6503 	: 
A,KWH1000-2499,NETC,NAT,ME	0.0486 	0.0487 	0.0489 	0.0467 	0.0467 	0.0460 	: 
A,KWH1000-2499,NETC,NAT,MK	1.1212 	1.0445 	1.2258 	1.2460 	1.3258 	2.4993 	: 
A,KWH1000-2499,NETC,NAT,MT	0.0250 	0.0240 	0.0250 	0.0310 	0.0270 	0.0270 	: 
A,KWH1000-2499,NETC,NAT,NL	0.0930 	0.0974 	0.0979 	0.1001 	0.1057 	0.1123 	: 
A,KWH1000-2499,NETC,NAT,NO	1.1934 	1.2945 	1.3635 	1.3652 	1.4172 	1.5197 	: 
A,KWH1000-2499,NETC,NAT,PL	0.2358 	0.2114 	0.2056 	0.2295 	0.2325 	0.2410 	: 
A,KWH1000-2499,NETC,NAT,PT	0.0572 	0.0550 	0.0536 	0.0489 	0.0470 	0.0629 	: 
A,KWH1000-2499,NETC,NAT,RO	0.1929 	0.1910 	0.1993 	0.2081 	0.2096 	0.2273 	: 
A,KWH1000-2499,NETC,NAT,RS	4.2957 	4.2683 	4.2117 	4.5221 	5.1219 	5.5389 	: 
A,KWH1000-2499,NETC,NAT,SE	0.9806 	1.0063 	1.0675 	0.9888 	0.9677 	1.0565 	: 
A,KWH1000-2499,NETC,NAT,SI	0.0702 	0.0717 	0.0694 	0.0582 	0.0648 	0.0545 	: 
A,KWH1000-2499,NETC,NAT,SK	0.0623 	0.0625 	0.0596 	0.0581 	0.0582 	0.0605 	: 
A,KWH1000-2499,NETC,NAT,TR	0.1168 	0.1296 	0.1789 	0.2206 	0.2532 	0.3306 	: 
A,KWH1000-2499,NETC,NAT,UA	: 	: 	: 	0.0000 	: 	: 	: 
A,KWH1000-2499,NETC,NAT,UK	0.0448 	0.0409 	0.0477 	: 	: 	: 	: 
A,KWH1000-2499,NETC,NAT,XK	0.0254 	0.0254 	0.0342 	0.0309 	0.0276 	0.0401 	: 
A,KWH1000-2499,NETC,PPS,AL	0.0000 	0.0000 	0.0000 	0.0871 e	0.0860 e	0.1134 	: 
A,KWH1000-2499,NETC,PPS,AT	0.0645 	0.0680 	0.0696 	0.0684 	0.0735 	0.0720 	0.0833 
A,KWH1000-2499,NETC,PPS,BA	0.0943 	0.0953 	0.0811 	0.0820 	0.0789 	0.0812 	0.0836 
A,KWH1000-2499,NETC,PPS,BE	0.0992 	0.1053 	0.1042 	0.1005 	0.1014 	0.0850 	0.0927 
A,KWH1000-2499,NETC,PPS,BG	0.0455 	0.0466 	0.0475 	0.0484 	0.0489 	0.0682 	0.0700 
A,KWH1000-2499,NETC,PPS,CY	0.0349 d	0.0355 	0.0372 	0.0355 	0.0335 	0.0329 	0.0396 
A,KWH1000-2499,NETC,PPS,CZ	0.1105 	0.1173 	0.1201 	0.1227 	0.0956 	0.0451 	0.1206 
A,KWH1000-2499,NETC,PPS,DE	0.0775 	0.0813 	0.0848 	0.0898 	0.0843 	0.0879 	0.1010 
A,KWH1000-2499,NETC,PPS,DK	0.0545 	0.0561 	0.0544 	0.0544 	0.0530 	0.0564 	0.0731 
A,KWH1000-2499,NETC,PPS,EA	0.0658 	0.0692 	0.0749 	0.0788 	0.0783 	0.0850 	: 
A,KWH1000-2499,NETC,PPS,EE	0.0644 	0.0659 	0.0612 	0.0629 	0.0618 	0.0688 	0.0784 
A,KWH1000-2499,NETC,PPS,EL	0.0418 	0.0351 	0.0353 	0.0343 	0.0353 	0.0356 	: 
A,KWH1000-2499,NETC,PPS,ES	0.0711 d	0.0672 d	0.0838 	0.0986 	0.0899 	0.0999 	: 
A,KWH1000-2499,NETC,PPS,EU27_2020	0.0686 	0.0710 	0.0757 	0.0783 	0.0779 	0.0904 	: 
A,KWH1000-2499,NETC,PPS,FI	0.0756 	0.0812 	0.0846 	0.0870 	0.0902 	0.0885 	0.0932 
A,KWH1000-2499,NETC,PPS,FR	0.0530 	0.0610 	0.0671 	0.0707 	0.0739 	0.0825 	0.0837 
A,KWH1000-2499,NETC,PPS,HR	0.0748 	0.0747 	0.0747 	0.0751 	0.0741 	0.5981 	: 
A,KWH1000-2499,NETC,PPS,HU	0.0721 	0.0722 	0.0705 	0.0721 	0.0714 	0.0815 	0.0917 
A,KWH1000-2499,NETC,PPS,IE	0.0817 	0.0850 	0.0822 	0.1075 	0.1120 	0.1169 	: 
A,KWH1000-2499,NETC,PPS,IS	0.0603 	0.0586 	0.0583 	0.0558 	0.0582 	0.0625 	: 
A,KWH1000-2499,NETC,PPS,IT	0.0563 d	0.0581 d	0.0669 	0.0631 	0.0679 	0.0803 	0.0643 
A,KWH1000-2499,NETC,PPS,LT	0.0637 	0.0660 	0.0720 	0.0827 	0.0834 	0.0834 	0.0901 
A,KWH1000-2499,NETC,PPS,LU	0.0689 	0.0805 	0.0812 	0.0855 	0.0838 	0.0828 	: 
A,KWH1000-2499,NETC,PPS,LV	0.0852 	0.0801 	0.0787 	0.0871 	0.0763 	0.0723 	: 
A,KWH1000-2499,NETC,PPS,ME	0.0951 	0.0949 	0.0963 	0.0926 	0.0897 	0.0893 	: 
A,KWH1000-2499,NETC,PPS,MK	0.0406 	0.0372 	0.0437 	0.0440 	0.0453 	0.0871 	0.0908 
A,KWH1000-2499,NETC,PPS,MT	0.0293 	0.0279 	0.0291 	0.0353 	0.0306 	0.0305 	0.0303 
A,KWH1000-2499,NETC,PPS,NL	0.0817 	0.0851 	0.0837 	0.0864 	0.0916 	0.0967 	: 
A,KWH1000-2499,NETC,PPS,NO	0.0841 	0.0914 	0.0938 	0.0901 	0.0978 	0.1059 	: 
A,KWH1000-2499,NETC,PPS,PL	0.0929 	0.0820 	0.0783 	0.0856 	0.0845 	0.0831 	: 
A,KWH1000-2499,NETC,PPS,PT	0.0682 	0.0653 	0.0638 	0.0575 	0.0549 	0.0735 	0.0672 
A,KWH1000-2499,NETC,PPS,RO	0.0821 	0.0775 	0.0791 	0.0814 	0.0801 	0.0880 	: 
A,KWH1000-2499,NETC,PPS,RS	0.0723 	0.0706 	0.0686 	0.0723 	0.0800 	0.0866 	0.0795 
A,KWH1000-2499,NETC,PPS,SE	0.0761 	0.0770 	0.0808 	0.0747 	0.0736 	0.0803 	0.0779 
A,KWH1000-2499,NETC,PPS,SI	0.0846 	0.0855 	0.0829 	0.0692 	0.0764 	0.0642 	0.0854 
A,KWH1000-2499,NETC,PPS,SK	0.0828 	0.0814 	0.0757 	0.0722 	0.0719 	0.0752 	0.0695 
A,KWH1000-2499,NETC,PPS,TR	0.0580 	0.0538 	0.0634 	0.0671 	0.0607 	0.0456 	0.1065 
A,KWH1000-2499,NETC,PPS,UK	0.0449 	0.0406 	0.0468 	: 	: 	: 	: 
A,KWH1000-2499,NRG_SUP,EUR,AL	0.0713 	0.0759 	0.0778 	: u	: u	0.0191 	: 
A,KWH1000-2499,NRG_SUP,EUR,AT	0.0663 	0.0674 	0.0750 	0.0801 	0.0807 	0.1253 	0.2226 
A,KWH1000-2499,NRG_SUP,EUR,BA	0.0344 	0.0337 	0.0401 	0.0404 	0.0395 	0.0406 	0.0400 
A,KWH1000-2499,NRG_SUP,EUR,BE	0.0840 	0.0917 	0.0967 	0.0889 	0.0916 	0.2404 	0.2408 
A,KWH1000-2499,NRG_SUP,EUR,BG	0.0582 	0.0590 	0.0579 	0.0589 	0.0625 	0.0562 	0.0552 
A,KWH1000-2499,NRG_SUP,EUR,CY	0.1071 d	0.1266 	0.1326 	0.1119 	0.1180 	0.1920 	0.1990 
A,KWH1000-2499,NRG_SUP,EUR,CZ	0.0653 	0.0694 	0.0842 	0.0854 	0.1140 	0.1375 	0.2020 
A,KWH1000-2499,NRG_SUP,EUR,DE	0.0797 	0.0775 	0.0683 	0.0742 	0.0914 	0.1435 	0.2138 
A,KWH1000-2499,NRG_SUP,EUR,DK	0.0388 	0.0503 	0.0539 	0.0409 	0.0747 	0.2434 	0.1645 
A,KWH1000-2499,NRG_SUP,EUR,EA	0.0879 	0.0939 	0.0796 	0.0808 	0.0990 	0.1641 	: 
A,KWH1000-2499,NRG_SUP,EUR,EE	0.0451 	0.0529 	0.0571 	0.0527 	0.0796 	0.1285 	0.1268 
A,KWH1000-2499,NRG_SUP,EUR,EL	0.0940 	0.0886 	0.0923 	0.1060 	0.1214 	0.3602 	: 
A,KWH1000-2499,NRG_SUP,EUR,ES	0.1460 d	0.1768 d	0.0779 	0.0645 	0.1365 	0.1862 	: 
A,KWH1000-2499,NRG_SUP,EUR,EU27_2020	0.0801 	0.0857 	0.0749 	0.0750 	0.0930 	0.1552 	: 
A,KWH1000-2499,NRG_SUP,EUR,FI	0.0577 	0.0594 	0.0663 	0.0614 	0.0629 	0.1060 	0.1237 
A,KWH1000-2499,NRG_SUP,EUR,FR	0.0706 	0.0724 	0.0726 	0.0783 	0.0803 	0.1075 	0.1504 
A,KWH1000-2499,NRG_SUP,EUR,GE	: 	0.0271 	0.0363 e	0.0408 e	0.0459 e	0.0586 e	: 
A,KWH1000-2499,NRG_SUP,EUR,HR	0.0611 	0.0623 	0.0629 	0.0613 	0.0607 	0.0696 	: 
A,KWH1000-2499,NRG_SUP,EUR,HU	0.0465 	0.0449 	0.0420 	0.0345 	0.0337 	0.0219 	0.0152 
A,KWH1000-2499,NRG_SUP,EUR,IE	0.1276 	0.1354 	0.1489 	0.1135 	0.1439 	0.2689 	: 
A,KWH1000-2499,NRG_SUP,EUR,IS	0.0489 	0.0485 	0.0470 	0.0407 	0.0438 	0.0469 	: 
A,KWH1000-2499,NRG_SUP,EUR,IT	0.1048 d	0.1133 d	0.1071 	0.1056 	0.1268 	0.2485 	0.2563 
A,KWH1000-2499,NRG_SUP,EUR,LI	0.0690 	0.0787 	0.0820 	0.0832 	0.0865 	0.0948 	0.2525 
A,KWH1000-2499,NRG_SUP,EUR,LT	0.0382 	0.0350 	0.0481 	0.0496 	0.0504 	0.1196 	0.1473 
A,KWH1000-2499,NRG_SUP,EUR,LU	0.0565 	0.0584 	0.0617 	0.0703 	0.0718 	0.0935 	: 
